Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,15:14:19,0.0,0,16.6,63.5,0.0,0
2026-06-09,15:15:19,0.0,0,16.6,63.5,0.0,0
2026-06-09,15:16:19,0.0,0,16.6,63.5,0.0,0
2026-06-09,15:17:19,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:18:19,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:19:19,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:20:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:21:20,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:22:20,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:23:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:24:20,0.0,0,16.6,63.4,0.0,0
2026-06-09,15:25:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:26:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:27:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:28:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:29:20,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:30:20,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:31:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:32:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:33:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:34:20,0.0,0,16.6,63.3,0.0,0
2026-06-09,15:35:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:36:20,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:37:21,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:38:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:39:21,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:40:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:41:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:42:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:43:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:44:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:45:21,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:46:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:47:21,0.0,0,16.7,63.2,0.0,0
2026-06-09,15:48:21,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:49:21,0.0,0,16.7,63.3,0.0,0
2026-06-09,15:50:21,0.0,0,16.8,63.3,0.0,0
2026-06-09,15:51:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,15:52:22,0.0,0,16.8,63.3,0.0,0
2026-06-09,15:53:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,15:54:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,15:55:22,0.0,0,16.8,63.3,0.0,0
2026-06-09,15:56:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,15:57:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,15:58:22,0.0,0,16.8,63.3,0.0,0
2026-06-09,15:59:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,16:00:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,16:01:22,0.0,0,16.8,63.5,0.0,0
